time,G(i),H_sun,T2m,WS10m,,Price
20160101:0011,0,0,5.75,6.83,1/1/2016,16.39
20160101:0111,0,0,5.74,7.1,1/1/2016,16.04
20160101:0211,0,0,5.74,7.38,1/1/2016,15.74
20160101:0311,0,0,5.73,7.66,1/1/2016,15.57
20160101:0411,0,0,5.71,7.53,1/1/2016,15.47
20160101:0511,0,0,5.68,7.4,1/1/2016,15.75
20160101:0611,0,0,5.66,7.27,1/1/2016,15.36
20160101:0711,0,0,5.55,6.34,1/1/2016,15.37
20160101:0811,0,0,5.44,5.4,1/1/2016,15.19
20160101:0911,23.11,5.32,5.34,4.47,1/1/2016,15.39
20160101:1011,71.07,8.73,5.65,4.1,1/1/2016,15.78
20160101:1111,0,0,5.97,3.73,1/1/2016,16.15
20160101:1211,0,0,6.29,3.37,1/1/2016,16.5
20160101:1311,86.33,7.39,5.98,3.07,1/1/2016,16.72
20160101:1411,45.27,3.2,5.68,2.78,1/1/2016,17.17
20160101:1511,0,0,5.37,2.48,1/1/2016,18
20160101:1611,0,0,4.49,2.06,1/1/2016,18.53
20160101:1711,0,0,3.61,1.64,1/1/2016,19.11
20160101:1811,0,0,2.73,1.21,1/1/2016,18.68
20160101:1911,0,0,2.43,2.24,1/1/2016,17.93
20160101:2011,0,0,2.13,3.26,1/1/2016,17.69
20160101:2111,0,0,1.83,4.29,1/1/2016,17.33
20160101:2211,0,0,2.24,4.98,1/1/2016,16.75
20160101:2311,0,0,2.65,5.67,1/1/2016,16.25
20160102:0011,0,0,3.06,6.36,2/1/2016,0.67
20160102:0111,0,0,3.39,7.18,2/1/2016,9.9
20160102:0211,0,0,3.72,8,2/1/2016,15.03
20160102:0311,0,0,4.05,8.81,2/1/2016,12.77
20160102:0411,0,0,3.66,9.44,2/1/2016,11.27
20160102:0511,0,0,3.26,10.07,2/1/2016,11.91
20160102:0611,0,0,2.87,10.7,2/1/2016,12.62
20160102:0711,0,0,2.32,11.07,2/1/2016,13.83
20160102:0811,0,0,1.76,11.44,2/1/2016,16.12
20160102:0911,48.47,5.37,1.21,11.81,2/1/2016,15.72
20160102:1011,0,0,0.92,12.03,2/1/2016,15.97
20160102:1111,0,0,0.63,12.25,2/1/2016,15.98
20160102:1211,0,0,0.34,12.47,2/1/2016,15.87
20160102:1311,0,0,0.07,12.71,2/1/2016,15.98
20160102:1411,0,0,-0.2,12.95,2/1/2016,15.99
20160102:1511,0,0,-0.48,13.19,2/1/2016,15.99
20160102:1611,0,0,-0.61,13.18,2/1/2016,16.22
20160102:1711,0,0,-0.73,13.18,2/1/2016,16.51
20160102:1811,0,0,-0.86,13.17,2/1/2016,16.37
20160102:1911,0,0,-0.98,13.15,2/1/2016,16.08
20160102:2011,0,0,-1.11,13.14,2/1/2016,16.15
20160102:2111,0,0,-1.23,13.12,2/1/2016,15.83
20160102:2211,0,0,-1.38,13.24,2/1/2016,15.82
20160102:2311,0,0,-1.53,13.37,2/1/2016,15.31
20160103:0011,0,0,-1.68,13.49,3/1/2016,6.99
20160103:0111,0,0,-1.86,13.48,3/1/2016,-0.01
20160103:0211,0,0,-2.03,13.47,3/1/2016,0.23
20160103:0311,0,0,-2.21,13.46,3/1/2016,4.51
20160103:0411,0,0,-2.3,13.36,3/1/2016,4.12
20160103:0511,0,0,-2.4,13.25,3/1/2016,6.76
20160103:0611,0,0,-2.49,13.14,3/1/2016,0.75
20160103:0711,0,0,-2.48,13.08,3/1/2016,4.27
20160103:0811,0,0,-2.47,13.01,3/1/2016,9.11
20160103:0911,103.08,5.42,-2.46,12.94,3/1/2016,15.92
20160103:1011,219.4,8.87,-2.28,13.32,3/1/2016,16.7
20160103:1111,301.56,10.44,-2.1,13.71,3/1/2016,16.49
20160103:1211,331.47,10.01,-1.92,14.1,3/1/2016,16.37
20160103:1311,245.85,7.61,-2,13.95,3/1/2016,16.35
20160103:1411,121.39,3.44,-2.07,13.8,3/1/2016,16.35
20160103:1511,0,0,-2.15,13.66,3/1/2016,16.3
20160103:1611,0,0,-2.14,13.55,3/1/2016,16.45
20160103:1711,0,0,-2.13,13.45,3/1/2016,17.22
20160103:1811,0,0,-2.12,13.35,3/1/2016,16.83
20160103:1911,0,0,-2.11,13.21,3/1/2016,16.48
20160103:2011,0,0,-2.11,13.07,3/1/2016,16.43
20160103:2111,0,0,-2.1,12.92,3/1/2016,16.43
20160103:2211,0,0,-2.22,12.77,3/1/2016,17.03
20160103:2311,0,0,-2.35,12.62,3/1/2016,14.43
20160104:0011,0,0,-2.47,12.47,4/1/2016,13.78
20160104:0111,0,0,-2.34,12.6,4/1/2016,12.77
20160104:0211,0,0,-2.2,12.73,4/1/2016,10.56
20160104:0311,0,0,-2.07,12.86,4/1/2016,3.87
20160104:0411,0,0,-2.1,12.66,4/1/2016,3.2
20160104:0511,0,0,-2.13,12.47,4/1/2016,8.67
20160104:0611,0,0,-2.16,12.28,4/1/2016,18.01
20160104:0711,0,0,-2.12,12.16,4/1/2016,19.54
20160104:0811,0,0,-2.08,12.05,4/1/2016,20.49
20160104:0911,110.35,5.49,-2.03,11.93,4/1/2016,20.49
20160104:1011,266.42,8.95,-1.8,11.84,4/1/2016,20.47
20160104:1111,292.64,10.53,-1.57,11.76,4/1/2016,20.14
20160104:1211,294.38,10.12,-1.34,11.67,4/1/2016,19.85
20160104:1311,174.64,7.73,-1.52,11.63,4/1/2016,19.83
20160104:1411,51.93,3.57,-1.7,11.59,4/1/2016,19.88
20160104:1511,0,0,-1.88,11.54,4/1/2016,20.09
20160104:1611,0,0,-1.74,11.62,4/1/2016,20.79
20160104:1711,0,0,-1.6,11.69,4/1/2016,21.07
20160104:1811,0,0,-1.46,11.77,4/1/2016,20.54
20160104:1911,0,0,-1.37,11.63,4/1/2016,19.77
20160104:2011,0,0,-1.28,11.5,4/1/2016,19.05
20160104:2111,0,0,-1.19,11.37,4/1/2016,18.5
20160104:2211,0,0,-1.22,11.24,4/1/2016,17.71
20160104:2311,0,0,-1.24,11.11,4/1/2016,17.03
20160105:0011,0,0,-1.27,10.98,5/1/2016,17.68
20160105:0111,0,0,-1.25,10.81,5/1/2016,17.33
20160105:0211,0,0,-1.23,10.65,5/1/2016,17.24
20160105:0311,0,0,-1.21,10.48,5/1/2016,17.32
20160105:0411,0,0,-1.26,10.43,5/1/2016,17.66
20160105:0511,0,0,-1.32,10.37,5/1/2016,17.92
20160105:0611,0,0,-1.37,10.32,5/1/2016,18.8
20160105:0711,0,0,-1.29,10.31,5/1/2016,20.51
20160105:0811,0,0,-1.21,10.3,5/1/2016,22.58
20160105:0911,0,0,-1.13,10.29,5/1/2016,21.73
20160105:1011,0,0,-0.8,10.24,5/1/2016,21.78
20160105:1111,0,0,-0.47,10.2,5/1/2016,21.64
20160105:1211,0,0,-0.13,10.15,5/1/2016,20.91
20160105:1311,49.72,7.86,-0.51,9.89,5/1/2016,20.61
20160105:1411,50.35,3.71,-0.89,9.64,5/1/2016,20.63
20160105:1511,0,0,-1.27,9.38,5/1/2016,20.71
20160105:1611,0,0,-1.5,9.49,5/1/2016,20.96
20160105:1711,0,0,-1.73,9.61,5/1/2016,21.23
20160105:1811,0,0,-1.96,9.72,5/1/2016,20.68
20160105:1911,0,0,-2.13,9.65,5/1/2016,20.48
20160105:2011,0,0,-2.31,9.58,5/1/2016,19.89
20160105:2111,0,0,-2.48,9.5,5/1/2016,19.39
20160105:2211,0,0,-2.66,9.27,5/1/2016,18.73
20160105:2311,0,0,-2.84,9.04,5/1/2016,17.97
20160106:0011,0,0,-3.02,8.81,6/1/2016,20.02
20160106:0111,0,0,-2.93,8.71,6/1/2016,19.63
20160106:0211,0,0,-2.84,8.61,6/1/2016,19.33
20160106:0311,0,0,-2.76,8.51,6/1/2016,19.35
20160106:0411,0,0,-2.84,8.81,6/1/2016,19.51
20160106:0511,0,0,-2.93,9.11,6/1/2016,19.81
20160106:0611,0,0,-3.01,9.41,6/1/2016,20.5
20160106:0711,0,0,-2.87,9.37,6/1/2016,22.06
20160106:0811,0,0,-2.73,9.34,6/1/2016,25.19
20160106:0911,166.72,5.64,-2.58,9.31,6/1/2016,28.24
20160106:1011,362.19,9.13,-2.17,9.14,6/1/2016,34.97
20160106:1111,326.56,10.75,-1.75,8.97,6/1/2016,37.95
20160106:1211,308.47,10.36,-1.33,8.8,6/1/2016,37.37
20160106:1311,320.78,8,-1.51,8.57,6/1/2016,36.61
20160106:1411,110.59,3.85,-1.69,8.33,6/1/2016,29.75
20160106:1511,0,0,-1.87,8.1,6/1/2016,28.17
20160106:1611,0,0,-1.96,8.38,6/1/2016,28.23
20160106:1711,0,0,-2.04,8.67,6/1/2016,29.6
20160106:1811,0,0,-2.13,8.95,6/1/2016,28.19
20160106:1911,0,0,-2.15,9.02,6/1/2016,26.87
20160106:2011,0,0,-2.16,9.08,6/1/2016,24.87
20160106:2111,0,0,-2.18,9.14,6/1/2016,22.06
20160106:2211,0,0,-2.26,9.12,6/1/2016,20.47
20160106:2311,0,0,-2.34,9.09,6/1/2016,19.37
20160107:0011,0,0,-2.42,9.06,7/1/2016,21.94
20160107:0111,0,0,-2.31,9.18,7/1/2016,21.75
20160107:0211,0,0,-2.2,9.3,7/1/2016,21.5
20160107:0311,0,0,-2.1,9.42,7/1/2016,21.52
20160107:0411,0,0,-2.19,9.54,7/1/2016,21.6
20160107:0511,0,0,-2.29,9.66,7/1/2016,21.62
20160107:0611,0,0,-2.39,9.78,7/1/2016,22.16
20160107:0711,0,0,-2.19,10.06,7/1/2016,27.8
20160107:0811,0,0,-1.99,10.33,7/1/2016,30.48
20160107:0911,0,0,-1.78,10.61,7/1/2016,29.34
20160107:1011,5.47,9.23,-1.4,10.77,7/1/2016,29.27
20160107:1111,36.02,10.87,-1.01,10.93,7/1/2016,27.04
20160107:1211,0,0,-0.63,11.09,7/1/2016,28.44
20160107:1311,36.08,8.14,-0.69,11.22,7/1/2016,26.08
20160107:1411,0,0,-0.75,11.35,7/1/2016,24.85
20160107:1511,0,0,-0.81,11.48,7/1/2016,23.6
20160107:1611,0,0,-0.98,11.6,7/1/2016,23
20160107:1711,0,0,-1.15,11.72,7/1/2016,24.82
20160107:1811,0,0,-1.32,11.85,7/1/2016,22.9
20160107:1911,0,0,-1.27,12.05,7/1/2016,21.71
20160107:2011,0,0,-1.23,12.24,7/1/2016,21.25
20160107:2111,0,0,-1.18,12.44,7/1/2016,21.47
20160107:2211,0,0,-1.03,12.48,7/1/2016,21.22
20160107:2311,0,0,-0.89,12.51,7/1/2016,20.26
20160108:0011,0,0,-0.74,12.55,8/1/2016,12.12
20160108:0111,0,0,-0.59,12.91,8/1/2016,17.23
20160108:0211,0,0,-0.44,13.27,8/1/2016,13.9
20160108:0311,0,0,-0.29,13.63,8/1/2016,12.11
20160108:0411,0,0,-0.14,13.28,8/1/2016,12.99
20160108:0511,0,0,0.01,12.93,8/1/2016,16.98
20160108:0611,0,0,0.16,12.58,8/1/2016,22.02
20160108:0711,0,0,0.34,12.9,8/1/2016,27.99
