HourUTC,HourDK,PriceArea,TotalLoad,Biomass,FossilGas,FossilHardCoal,FossilOil,HydroPower,OtherRenewable,SolarPower,Waste,OnshoreWindPower,OffshoreWindPower,ExchangeContinent,ExchangeGreatBelt,ExchangeNordicCountries
2019-12-30T23:00:00+00:00,2019-12-31T00:00:00,DK2,1299.05,351.86,35.09,162.96,13.21,,,0,51.05,505.12,215.37,-585,130,464
2019-12-30T23:00:00+00:00,2019-12-31T00:00:00,DK1,1967.52,166.82,95.09,251.61,10.17,2,2.06,0,104.58,1894.34,932.47,452,-130,-849
2019-12-30T22:00:00+00:00,2019-12-30T23:00:00,DK2,1378.43,411.44,34.99,163.62,14.17,,,0,56.45,500.94,214.1,-585,308,312
2019-12-30T22:00:00+00:00,2019-12-30T23:00:00,DK1,2090.98,144.11,137.53,288.89,10.3,2,2.19,0,103.02,1943.86,1045.99,938,-308,-1222
2019-12-30T21:00:00+00:00,2019-12-30T22:00:00,DK2,1498.41,458.42,35.02,168.6,14.2,,,0,56.12,528.26,214.05,-585,15,645
2019-12-30T21:00:00+00:00,2019-12-30T22:00:00,DK1,2255.39,141.3,188.9,341.42,10.15,2,3.14,0,103.13,1890.04,804.74,992,-15,-1218
2019-12-30T20:00:00+00:00,2019-12-30T21:00:00,DK2,1622.65,437.83,37.21,172.25,14.2,,,0,56.43,499.52,212.03,-585,260,563
2019-12-30T20:00:00+00:00,2019-12-30T21:00:00,DK1,2399.91,152.53,222.45,331.65,10.01,2,3.12,0,103.5,1721.52,989.75,1404,-260,-1281
2019-12-30T19:00:00+00:00,2019-12-30T20:00:00,DK2,1731.35,453.99,95.95,164.76,14.21,,,0,56.59,515.82,212.31,-585,205,646
2019-12-30T19:00:00+00:00,2019-12-30T20:00:00,DK1,2555.23,160.89,247.4,352.41,10.07,2,3.13,0,101.88,1635.29,1040.55,1271,-205,-1062
2019-12-30T18:00:00+00:00,2019-12-30T19:00:00,DK2,1834.48,491.56,109.45,162.04,14.19,,,0,56.71,536.58,213.55,-585,488,402
2019-12-30T18:00:00+00:00,2019-12-30T19:00:00,DK1,2718.65,149.93,246,487.69,10.44,2,2.33,0,100.46,1735.38,1090.82,1133,-488,-746
2019-12-30T17:00:00+00:00,2019-12-30T18:00:00,DK2,1921.84,482.9,109.3,170.87,14.22,,,0,56.84,518.51,206.87,-585,201,795
2019-12-30T17:00:00+00:00,2019-12-30T18:00:00,DK1,2857.65,142.55,226.03,635.05,10.84,2,2.12,0,100.64,1700.26,1049.89,659,-201,-530
2019-12-30T16:00:00+00:00,2019-12-30T17:00:00,DK2,1934.5,486.99,109.55,175.25,14.21,,,0,58.2,513.8,211.3,-585,149,851
2019-12-30T16:00:00+00:00,2019-12-30T17:00:00,DK1,2924.22,143.6,234.22,588.39,10.42,2,2.08,0,101.72,1716.01,1052.96,658,-149,-440
2019-12-30T15:00:00+00:00,2019-12-30T16:00:00,DK2,1830.53,474.37,109.67,193.38,14.23,,,0.1,58.54,510.78,213.48,-585,77,819
2019-12-30T15:00:00+00:00,2019-12-30T16:00:00,DK1,2737.54,144.44,230.96,532.32,10.67,2,2.12,0.14,101.09,2115.95,1166.11,354,-77,-830
2019-12-30T14:00:00+00:00,2019-12-30T15:00:00,DK2,1731.39,478.2,108.45,208.24,14.23,,,5.35,58.35,488.38,199.31,-579,-99,904
2019-12-30T14:00:00+00:00,2019-12-30T15:00:00,DK1,2631.91,173.99,221.88,473.72,10.79,2,2.12,7.12,101.54,2071.52,1160.73,317,99,-1020
2019-12-30T13:00:00+00:00,2019-12-30T14:00:00,DK2,1754.32,519.84,105.47,199.7,15.01,,,24.56,58.85,497.57,170.21,-344,283,269
2019-12-30T13:00:00+00:00,2019-12-30T14:00:00,DK1,2545.5,285.7,308.34,473.18,11.8,2,2.22,36.82,115.82,2378.35,1153.5,370,-283,-1522
2019-12-30T12:00:00+00:00,2019-12-30T13:00:00,DK2,1786.19,521.84,100.5,177.77,15.08,,,33.18,59.19,489.16,175.93,200,270,-210
2019-12-30T12:00:00+00:00,2019-12-30T13:00:00,DK1,2538.24,305.06,309.97,346.4,11.74,2,2.21,72.1,116.42,2293.31,1145.11,1006,-270,-1982
2019-12-30T11:00:00+00:00,2019-12-30T12:00:00,DK2,1790.48,518.41,98.43,173.96,15.08,,,37.53,59.04,526.92,201.95,-32,568,-336
2019-12-30T11:00:00+00:00,2019-12-30T12:00:00,DK1,2596.88,286.61,310.71,312.22,11.64,2.01,2.2,82.04,117.37,2244.74,1134.95,1472,-568,-2027
2019-12-30T10:00:00+00:00,2019-12-30T11:00:00,DK2,1796.09,514.25,98.51,176.72,15.07,,,37.06,58.19,524.05,208.57,-62,590,-324
2019-12-30T10:00:00+00:00,2019-12-30T11:00:00,DK1,2639.5,186.02,300.06,339.92,11.97,2.01,2.24,53.09,117.35,2227.03,1123.34,1647,-590,-2027
2019-12-30T09:00:00+00:00,2019-12-30T10:00:00,DK2,1786.64,511.49,98.48,170.57,15.03,,,18.99,56.31,502.79,213.62,25,588,-364
2019-12-30T09:00:00+00:00,2019-12-30T10:00:00,DK1,2654.72,211.7,268.06,320.59,11.51,2,2.85,20.06,114.88,2375.58,1141.02,1519,-588,-1965
2019-12-30T08:00:00+00:00,2019-12-30T09:00:00,DK2,1733.53,518.64,95.75,166.68,14.07,,,5.05,56.64,465.75,207.86,-473,567,154
2019-12-30T08:00:00+00:00,2019-12-30T09:00:00,DK1,2691.96,279.74,275.96,259.8,18.88,2,4.01,3.92,104.38,2258.63,1147.34,1135,-567,-1397
2019-12-30T07:00:00+00:00,2019-12-30T08:00:00,DK2,1639.67,513.13,86.8,179.82,11.28,,,0.13,56.87,425.08,201.43,-583,414,378
2019-12-30T07:00:00+00:00,2019-12-30T08:00:00,DK1,2653.22,164.79,206.65,256.7,13.38,2,3.45,0.03,102.78,2005.85,1084.98,1053,-414,-861
2019-12-30T06:00:00+00:00,2019-12-30T07:00:00,DK2,1533.59,505.22,48.1,183.34,5.38,,,0,53.69,488.18,197.69,-585,547,131
2019-12-30T06:00:00+00:00,2019-12-30T07:00:00,DK1,2394.3,158.1,151.29,260.03,13.62,2,3.48,0,100.03,2278.75,1144.69,978,-547,-1279
2019-12-30T05:00:00+00:00,2019-12-30T06:00:00,DK2,1407.23,471.17,35.67,175.52,5.21,,,0,52.53,431.27,200.22,-585,355,304
2019-12-30T05:00:00+00:00,2019-12-30T06:00:00,DK1,2246.37,157.86,109.27,212.17,11.04,2,3.22,0,95.67,1891.09,1058.41,822,-355,-787
2019-12-30T04:00:00+00:00,2019-12-30T05:00:00,DK2,1290.76,383.08,35.62,141.87,5.19,,,0,50.29,506.28,208.67,-585,421,161
2019-12-30T04:00:00+00:00,2019-12-30T05:00:00,DK1,2039.72,157.39,87.01,162.83,8.14,2,2.93,0,88.54,2285.99,1164.46,439,-421,-970
2019-12-30T03:00:00+00:00,2019-12-30T04:00:00,DK2,1226.6,263.13,35.67,137.91,5.2,,,0,44.08,502.2,199.05,-585,523,146
2019-12-30T03:00:00+00:00,2019-12-30T04:00:00,DK1,1957.55,156.62,82.62,146.75,7.09,1.99,2.82,0,79,2529.38,1159.33,118,-523,-868
2019-12-30T02:00:00+00:00,2019-12-30T03:00:00,DK2,1221.21,258.22,35.04,135.75,5.01,,,0,45.7,460.18,197.39,-572,468,234
2019-12-30T02:00:00+00:00,2019-12-30T03:00:00,DK1,1947.74,153.84,82.9,145.91,7.14,1.99,2.83,0,76.03,2385.74,1161.11,66,-468,-759
2019-12-30T01:00:00+00:00,2019-12-30T02:00:00,DK2,1238.66,230.57,33.4,132.54,4.48,,,0,50.78,486.92,198.43,-585,287,444
2019-12-30T01:00:00+00:00,2019-12-30T02:00:00,DK1,1968.54,156.36,83.68,148.73,7.4,1.99,2.86,0,77,2368.08,1164.17,-80,-287,-706
2019-12-30T00:00:00+00:00,2019-12-30T01:00:00,DK2,1264.3,245.28,33.63,138.26,4.54,,,0,50.01,509.64,207.49,-585,241,463
2019-12-30T00:00:00+00:00,2019-12-30T01:00:00,DK1,2020.25,165.15,86.61,149.34,7.21,1.99,2.83,0,76.7,2424.97,1162.61,-136,-241,-744
2019-12-29T23:00:00+00:00,2019-12-30T00:00:00,DK2,1333.27,346.82,35.48,137.98,4.46,,,0,51.34,493.83,210.11,-585,-150,832
2019-12-29T23:00:00+00:00,2019-12-30T00:00:00,DK1,2093.67,191.52,92.09,154.13,7.69,2,2.89,0,77.85,2333.41,1163.56,-111,150,-1029
2019-12-29T22:00:00+00:00,2019-12-29T23:00:00,DK2,1378.42,413.98,42.23,142.81,4.55,,,0,55.37,475.76,211.85,-585,172,495
2019-12-29T22:00:00+00:00,2019-12-29T23:00:00,DK1,2179.69,279.47,115.3,191.68,10.2,2,3.14,0,87.44,2288.81,1074.21,102,-172,-848
2019-12-29T21:00:00+00:00,2019-12-29T22:00:00,DK2,1511,451.59,42.78,166.46,9.57,,,0,57.21,527.37,211.66,-585,168,514
2019-12-29T21:00:00+00:00,2019-12-29T22:00:00,DK1,2275,236.37,171.59,226.3,10.37,2,3.15,0,88.27,2793.86,1170.58,-429,-168,-868
2019-12-29T20:00:00+00:00,2019-12-29T21:00:00,DK2,1615.09,456.99,42.87,158.95,12.82,,,0,56.76,489.6,203.06,-585,199,635
2019-12-29T20:00:00+00:00,2019-12-29T21:00:00,DK1,2386.16,239.36,216.96,348.05,10.36,2,3.16,0,88.27,2635.63,1169.39,-374,-199,-821
2019-12-29T19:00:00+00:00,2019-12-29T20:00:00,DK2,1688.03,516.55,36.63,158.15,13.77,,,0,53.2,435.84,200.15,-585,134,775
2019-12-29T19:00:00+00:00,2019-12-29T20:00:00,DK1,2470.55,290.56,274.36,457.68,10.62,2,3.18,0,99.57,2656.79,1167.55,-756,-134,-712
2019-12-29T18:00:00+00:00,2019-12-29T19:00:00,DK2,1803.03,516.35,37.5,162.73,14.7,,,0,52.33,416.22,200.51,-585,99,930
2019-12-29T18:00:00+00:00,2019-12-29T19:00:00,DK1,2574.26,272.52,306.29,707.56,11.37,1.88,3.25,0,101.63,2598.29,1162.5,-801,-99,-828
2019-12-29T17:00:00+00:00,2019-12-29T18:00:00,DK2,1886.69,515.41,38.28,178.1,14.94,,,0,52.66,432.05,192.21,-585,57,1038
2019-12-29T17:00:00+00:00,2019-12-29T18:00:00,DK1,2723.6,344.27,354.57,938.79,11.6,2,3.28,0,101.66,2556.97,1133.02,-1001,-57,-844
2019-12-29T16:00:00+00:00,2019-12-29T17:00:00,DK2,1915.25,517.59,36.79,175.66,14.45,,,0,53.48,397.2,192.95,-585,103,1054
2019-12-29T16:00:00+00:00,2019-12-29T17:00:00,DK1,2764.64,304.74,301.75,705.78,11.75,2,3.29,0,100.68,2536.69,1145.26,-719,-103,-716
2019-12-29T15:00:00+00:00,2019-12-29T16:00:00,DK2,1821.96,514.75,36.06,174.78,14.21,,,0.05,56.36,362.12,171.96,-569,19,1080
2019-12-29T15:00:00+00:00,2019-12-29T16:00:00,DK1,2606.29,352.55,343.86,763.75,11.64,2,3.28,0.06,101.51,2462.48,1078.78,-789,-19,-887
2019-12-29T14:00:00+00:00,2019-12-29T15:00:00,DK2,1702.63,523.67,37.11,176.32,14.54,,,0.8,56.17,332.8,140.36,-231,-292,980
2019-12-29T14:00:00+00:00,2019-12-29T15:00:00,DK1,2471,292.61,342.93,647.46,16.12,2,3.73,1.39,101.94,2273.24,1055.2,-1000,292,-822
2019-12-29T13:00:00+00:00,2019-12-29T14:00:00,DK2,1664.5,523.09,36.89,174.93,14.46,,,6.29,53.52,350.7,152.27,329,-128,193
2019-12-29T13:00:00+00:00,2019-12-29T14:00:00,DK1,2443.71,288.45,337.17,501.45,16.46,2,3.76,7.56,102.81,2177.17,1012.77,-25,128,-1368
2019-12-29T12:00:00+00:00,2019-12-29T13:00:00,DK2,1679.49,516.4,37.03,180.1,14.48,,,14.28,51.35,341.11,156.91,330,-17,92
2019-12-29T12:00:00+00:00,2019-12-29T13:00:00,DK1,2432.45,301.51,354.82,450.45,16.76,2,3.8,15.73,103.73,2204.64,1088.73,529,17,-1897
2019-12-29T11:00:00+00:00,2019-12-29T12:00:00,DK2,1677.63,523.08,35.5,184.18,13.98,,,16.68,55.4,317.7,136.32,44,-467,854
2019-12-29T11:00:00+00:00,2019-12-29T12:00:00,DK1,2503.03,329.6,360.84,540.58,14.53,2,3.57,22.49,106.09,2292.68,1149.83,-571,467,-1466
2019-12-29T10:00:00+00:00,2019-12-29T11:00:00,DK2,1683.87,512.51,35.17,182.75,13.86,,,13.69,55.03,296.52,129.06,567,332,-415
2019-12-29T10:00:00+00:00,2019-12-29T11:00:00,DK1,2524.49,319.68,353.99,450.01,11.44,2,3.26,18.19,106.56,2282.28,1144.23,835,-332,-1893
2019-12-29T09:00:00+00:00,2019-12-29T10:00:00,DK2,1650.62,507.04,35.94,184.01,14.07,,,10.88,55.6,301.62,102.82,353,249,-127
2019-12-29T09:00:00+00:00,2019-12-29T10:00:00,DK1,2490.24,338.51,351.43,625.79,10.86,2,3.21,8.94,105.84,2160.13,1101.2,238,-249,-1407
2019-12-29T08:00:00+00:00,2019-12-29T09:00:00,DK2,1559.3,510.53,35.46,182.96,13.9,,,6.16,55.73,267.49,94.15,85,-334,678
2019-12-29T08:00:00+00:00,2019-12-29T09:00:00,DK1,2406.17,270.47,330.59,504.78,12.96,2,3.42,1.62,96.17,1891.57,1075.62,-162,334,-1449
2019-12-29T07:00:00+00:00,2019-12-29T08:00:00,DK2,1457.4,505.33,34.22,172.32,13.51,,,0.43,55.27,244.44,115.35,394,15,-47
2019-12-29T07:00:00+00:00,2019-12-29T08:00:00,DK1,2292.45,250.55,311.03,429.34,14.29,2,3.55,0.04,97.12,1760.49,973.63,505,-15,-1935
2019-12-29T06:00:00+00:00,2019-12-29T07:00:00,DK2,1342.55,487.46,34.08,178.92,13.41,,,0,54.96,248.89,135.35,241,31,-39
2019-12-29T06:00:00+00:00,2019-12-29T07:00:00,DK1,2117.81,210.78,318.54,367.61,16.52,2,3.77,0,98.96,1719.13,984.78,545,-31,-1402
2019-12-29T05:00:00+00:00,2019-12-29T06:00:00,DK2,1267.47,491.97,34.51,188.79,12.58,,,0,54.53,244.47,150.28,2,-133,263
2019-12-29T05:00:00+00:00,2019-12-29T06:00:00,DK1,1995.49,210.63,289.73,287.85,10.03,2,3.12,0,97.45,1711.12,1054.84,-135,133,-956
2019-12-29T04:00:00+00:00,2019-12-29T05:00:00,DK2,1209.91,490.49,33.87,187.42,12.38,,,0,54.14,228.22,106.92,-103,63,179
2019-12-29T04:00:00+00:00,2019-12-29T05:00:00,DK1,1880.93,228.35,295.33,324.06,15.66,2,3.69,0,99.49,1614.41,1054.05,22,-63,-976
2019-12-29T03:00:00+00:00,2019-12-29T04:00:00,DK2,1185.83,496.44,33.65,191.55,12.28,,,0,55.68,219.06,102.89,-24,-149,286
2019-12-29T03:00:00+00:00,2019-12-29T04:00:00,DK1,1852.89,235.37,272.9,304.96,10.43,2,3.15,0,97.37,1564.27,1031.5,-225,149,-886
2019-12-29T02:00:00+00:00,2019-12-29T03:00:00,DK2,1193.68,492.73,33.7,185.34,12.27,,,0,55.34,192.56,77.7,-9,-347,538
2019-12-29T02:00:00+00:00,2019-12-29T03:00:00,DK1,1854.45,201.63,272.13,316.31,10.33,2,3.15,0,93.58,1476.21,1082.74,-292,347,-971
2019-12-29T01:00:00+00:00,2019-12-29T02:00:00,DK2,1225.24,490.05,33.78,181.74,12.28,,,0,55.26,210.3,87.69,-216,-277,688
2019-12-29T01:00:00+00:00,2019-12-29T02:00:00,DK1,1852.03,243.15,294.43,333.89,12.39,2,3.36,0,93.75,1400.89,1081.47,-398,277,-795
2019-12-29T00:00:00+00:00,2019-12-29T01:00:00,DK2,1251.08,493.59,33.77,189.09,12.28,,,0,55.8,190.96,72.81,216,-376,401
2019-12-29T00:00:00+00:00,2019-12-29T01:00:00,DK1,1904.55,251.87,301.57,477.8,10.76,2,3.2,0,98.3,1423.9,1088.85,-422,376,-935
2019-12-28T23:00:00+00:00,2019-12-29T00:00:00,DK2,1313.45,500.88,33.81,197.9,12.3,,,0,55.46,176.77,85.18,127,-343,506
2019-12-28T23:00:00+00:00,2019-12-29T00:00:00,DK1,1967.93,252.91,308.31,477.03,11.55,2,3.28,0,98.34,1325.92,1119.42,-320,343,-912
2019-12-28T22:00:00+00:00,2019-12-28T23:00:00,DK2,1418.2,491.33,34.4,187.4,13.36,,,0,55.33,168.04,71.4,417,-2,23
2019-12-28T22:00:00+00:00,2019-12-28T23:00:00,DK1,2035.2,258.22,336.14,371.85,13.49,2.01,3.47,0,101.4,1272.14,1122.81,-57,2,-653
2019-12-28T21:00:00+00:00,2019-12-28T22:00:00,DK2,1497.45,489.97,34.24,185.61,13.44,,,0,55.77,155.54,82.46,-86,-147,748
2019-12-28T21:00:00+00:00,2019-12-28T22:00:00,DK1,2154.37,295.49,323.94,416.38,11.83,2,3.3,0,100.39,1310.05,1117.15,-676,147,-166
2019-12-28T20:00:00+00:00,2019-12-28T21:00:00,DK2,1606.06,485.26,32.93,184.22,13.16,,,0,59.51,152.24,69.88,-443,226,858
2019-12-28T20:00:00+00:00,2019-12-28T21:00:00,DK1,2311.79,257.89,289.78,366.59,11.33,2,3.25,0,101.41,1412.85,1072.22,-635,-226,428
2019-12-28T19:00:00+00:00,2019-12-28T20:00:00,DK2,1681.07,486.47,33.95,179.51,13.48,,,0,65.56,124.41,48.02,-581,437,905
2019-12-28T19:00:00+00:00,2019-12-28T20:00:00,DK1,2395.34,312.02,340.06,426.24,11.38,2,3.26,0,121.91,1396.96,1051.84,-997,-437,1001
2019-12-28T18:00:00+00:00,2019-12-28T19:00:00,DK2,1780.86,487.16,58.01,187.9,13.98,,,0,65.77,88.52,46.59,-551,569,844
2019-12-28T18:00:00+00:00,2019-12-28T19:00:00,DK1,2549.14,328.61,364.84,443.63,12.29,2,3.35,0,108.71,1190.42,972.49,-896,-569,1397
2019-12-28T17:00:00+00:00,2019-12-28T18:00:00,DK2,1894.6,488.61,103.99,188.46,14,,,0,64.87,77.09,31.63,-554,585,923
2019-12-28T17:00:00+00:00,2019-12-28T18:00:00,DK1,2704.36,332.23,396.37,696.79,14.04,2.01,3.52,0,123.22,1044.47,906.82,-1011,-585,1551
2019-12-28T16:00:00+00:00,2019-12-28T17:00:00,DK2,1925.94,495.68,103.66,188.36,13.87,,,0,66.56,57.38,27.66,-573,590,982
2019-12-28T16:00:00+00:00,2019-12-28T17:00:00,DK1,2747.59,329.12,422.66,860.95,22.53,2.01,4.37,0,126.53,861.28,926.48,-1061,-590,1562
2019-12-28T15:00:00+00:00,2019-12-28T16:00:00,DK2,1836.18,497.26,103.17,188.83,13.81,,,0.04,67.24,41.9,24.65,-562,561,927
2019-12-28T15:00:00+00:00,2019-12-28T16:00:00,DK1,2619.3,335.47,419.37,787.89,21.24,2.01,4.24,0.06,124.59,923.32,883.07,-1044,-561,1441
2019-12-28T14:00:00+00:00,2019-12-28T15:00:00,DK2,1717.06,499.29,95.53,188.21,13.76,,,1.05,67.32,27.5,8.97,-93,208,726
2019-12-28T14:00:00+00:00,2019-12-28T15:00:00,DK1,2485.92,334.96,414.91,515.92,15.52,2.01,3.66,2.11,121.78,994.75,819.6,-778,-208,949
2019-12-28T13:00:00+00:00,2019-12-28T14:00:00,DK2,1692.21,499.97,95.54,188.5,13.77,,,8.06,67.02,20.84,1.47,475,562,-216
2019-12-28T13:00:00+00:00,2019-12-28T14:00:00,DK1,2461.86,295.62,402.97,410.24,11.86,2.02,3.31,12.73,118.27,932.91,759.53,523,-562,301
2019-12-28T12:00:00+00:00,2019-12-28T13:00:00,DK2,1707.83,497.54,95.62,186.15,13.77,,,21.32,67.8,18.23,0.57,598,568,-334
2019-12-28T12:00:00+00:00,2019-12-28T13:00:00,DK1,2459.05,302.27,417.32,378.43,15.31,2.02,3.65,25.01,118.95,813.46,637.81,642,-568,-205
2019-12-28T11:00:00+00:00,2019-12-28T12:00:00,DK2,1720.15,561.49,95.77,197.7,13.83,,,26.52,67.8,16.71,0.13,584,277,-98
