HourUTC,HourDK,PriceArea,SpotPriceDKK,SpotPriceEUR
2021-01-01T00:00:00+00:00,2021-01-01T01:00:00,DK1,358.58,48.19
2021-01-01T01:00:00+00:00,2021-01-01T02:00:00,DK1,332.46,44.68
2021-01-01T02:00:00+00:00,2021-01-01T03:00:00,DK1,319.37,42.92
2021-01-01T03:00:00+00:00,2021-01-01T04:00:00,DK1,300.54,40.39
2021-01-01T04:00:00+00:00,2021-01-01T05:00:00,DK1,299.13,40.2
2021-01-01T05:00:00+00:00,2021-01-01T06:00:00,DK1,294.89,39.63
2021-01-01T06:00:00+00:00,2021-01-01T07:00:00,DK1,298.31,40.09
2021-01-01T07:00:00+00:00,2021-01-01T08:00:00,DK1,307.09,41.27
2021-01-01T08:00:00+00:00,2021-01-01T09:00:00,DK1,333.95,44.88
2021-01-01T09:00:00+00:00,2021-01-01T10:00:00,DK1,334.85,45
2021-01-01T10:00:00+00:00,2021-01-01T11:00:00,DK1,351.22,47.2
2021-01-01T11:00:00+00:00,2021-01-01T12:00:00,DK1,377.85,50.78
2021-01-01T12:00:00+00:00,2021-01-01T13:00:00,DK1,338.49,45.49
2021-01-01T13:00:00+00:00,2021-01-01T14:00:00,DK1,332.84,44.73
2021-01-01T14:00:00+00:00,2021-01-01T15:00:00,DK1,346.68,46.59
2021-01-01T15:00:00+00:00,2021-01-01T16:00:00,DK1,394.3,52.99
2021-01-01T16:00:00+00:00,2021-01-01T17:00:00,DK1,448.39,60.26
2021-01-01T17:00:00+00:00,2021-01-01T18:00:00,DK1,451,60.61
2021-01-01T18:00:00+00:00,2021-01-01T19:00:00,DK1,449.14,60.36
2021-01-01T19:00:00+00:00,2021-01-01T20:00:00,DK1,427.11,57.4
2021-01-01T20:00:00+00:00,2021-01-01T21:00:00,DK1,400.77,53.86
2021-01-01T21:00:00+00:00,2021-01-01T22:00:00,DK1,397.72,53.45
2021-01-01T22:00:00+00:00,2021-01-01T23:00:00,DK1,369.97,49.72
2021-01-01T23:00:00+00:00,2021-01-02T00:00:00,DK1,347.42,46.69
2021-01-02T00:00:00+00:00,2021-01-02T01:00:00,DK1,315.72,42.43
2021-01-02T01:00:00+00:00,2021-01-02T02:00:00,DK1,305.75,41.09
2021-01-02T02:00:00+00:00,2021-01-02T03:00:00,DK1,297.64,40
2021-01-02T03:00:00+00:00,2021-01-02T04:00:00,DK1,279.41,37.55
2021-01-02T04:00:00+00:00,2021-01-02T05:00:00,DK1,290.2,39
2021-01-02T05:00:00+00:00,2021-01-02T06:00:00,DK1,313.19,42.09
2021-01-02T06:00:00+00:00,2021-01-02T07:00:00,DK1,334.55,44.96
2021-01-02T07:00:00+00:00,2021-01-02T08:00:00,DK1,360.52,48.45
2021-01-02T08:00:00+00:00,2021-01-02T09:00:00,DK1,386.93,52
2021-01-02T09:00:00+00:00,2021-01-02T10:00:00,DK1,386.93,52
2021-01-02T10:00:00+00:00,2021-01-02T11:00:00,DK1,388.05,52.15
2021-01-02T11:00:00+00:00,2021-01-02T12:00:00,DK1,416.32,55.95
2021-01-02T12:00:00+00:00,2021-01-02T13:00:00,DK1,386.93,52
2021-01-02T13:00:00+00:00,2021-01-02T14:00:00,DK1,377.18,50.69
2021-01-02T14:00:00+00:00,2021-01-02T15:00:00,DK1,397.72,53.45
2021-01-02T15:00:00+00:00,2021-01-02T16:00:00,DK1,446.39,59.99
2021-01-02T16:00:00+00:00,2021-01-02T17:00:00,DK1,461.34,62
2021-01-02T17:00:00+00:00,2021-01-02T18:00:00,DK1,469.38,63.08
2021-01-02T18:00:00+00:00,2021-01-02T19:00:00,DK1,462.61,62.17
2021-01-02T19:00:00+00:00,2021-01-02T20:00:00,DK1,446.68,60.03
2021-01-02T20:00:00+00:00,2021-01-02T21:00:00,DK1,409.48,55.03
2021-01-02T21:00:00+00:00,2021-01-02T22:00:00,DK1,388.79,52.25
